x,y,z
2015,2012,3127
2012,2010,3134
2011,2010,3127
2016,2015,3134
2015,2010,3127
2009,2013,3126
2012,2017,3132
2015,2010,3120
2014,2014,3131
2013,2005,3138
2014,2009,3137
2016,2011,3133
2014,2005,3125
2012,2014,3138
2015,2014,3135
2013,2013,3135
2013,2011,3137
2010,2010,3138
2018,2011,3135
2015,2006,3134
2014,2012,3134
2012,2009,3134
2016,2009,3134
2014,2018,3130
2011,2018,3129
2013,2014,3133
2018,2010,3126
2016,2004,3124
2008,2008,3123
2013,2012,3124
2015,2013,3125
2012,2010,3126
2011,2015,3130
2011,2008,3132
2008,2008,3122
2008,2011,3134
2020,2005,3127
2015,2007,3123
2013,2007,3126
2013,2013,3126
2014,2017,3123
2012,2012,3129
2011,2019,3119
2013,2013,3114
2016,2008,3111
2012,2002,3108
2019,2006,3106
2012,2010,3103
2015,2014,3103
2020,2015,3097
2021,2014,3096
2013,2010,3096
2012,2010,3098
2019,2013,3097
2014,2014,3096
2014,2013,3094
2013,2007,3100
2011,2010,3099
2022,2013,3101
2021,2015,3101
2015,2018,3094
2016,2014,3090
2020,2014,3091
2014,2008,3092
2011,2013,3088
2014,2009,3086
2016,2010,3078
2015,2014,3074
2022,2015,3073
2013,2015,3068
2016,2015,3067
2009,2014,3065
2021,2012,3060
2022,2012,3065
2014,2015,3060
2018,2013,3059
2015,2014,3063
2015,2020,3063
2023,2017,3065
2017,2000,3074
2016,2015,3064
2018,2014,3063
2021,2015,3068
2020,2014,3062
2015,2008,3059
2017,2015,3054
2017,2012,3060
2015,2019,3055
2023,2015,3053
2016,2014,3041
2017,2012,3049
2022,2011,3042
2022,2009,3037
2022,2020,3042
2011,2010,3041
2019,2010,3043
2023,2018,3046
2021,2013,3049
2018,2015,3039
2015,2009,3044
2022,2013,3046
2023,2007,3052
2020,2009,3049
2021,2013,3055
2017,2014,3056
2018,2011,3050
2021,2016,3050
2020,2016,3051
2018,2008,3047
2010,2011,3049
2019,2011,3051
2022,2011,3052
2015,2014,3046
2023,2015,3043
2022,2014,3044
2020,2010,3046
2023,2013,3048
2020,2010,3049
2017,2009,3058
2016,2012,3062
2015,2012,3056
2025,2014,3061
2022,2012,3061
2019,2011,3069
2024,2016,3080
2017,2010,3078
2015,2009,3078
2018,2011,3083
2015,2017,3082
2019,2012,3084
2016,2018,3078
2019,2012,3087
2015,2013,3083
2017,2010,3086
2028,2010,3084
2014,2013,3084
2018,2008,3079
2022,2012,3085
2019,2011,3087
2027,2015,3092
2022,2015,3090
2015,2013,3094
2014,2017,3094
2011,2016,3102
2017,2015,3110
2016,2010,3105
2020,2014,3112
2018,2016,3120
2016,2011,3116
2017,2011,3120
2021,2015,3127
2019,2014,3120
2017,2016,3129
2023,2011,3123
2018,2010,3115
2016,2013,3120
2016,2013,3118
2019,2013,3125
2016,2015,3120
2018,2013,3119
2018,2011,3120
2021,2014,3115
2019,2015,3121
2016,2011,3124
2013,2016,3126
2016,2010,3121
2020,2013,3126
2013,2014,3130
2013,2013,3126
2020,2017,3133
2018,2014,3130
2012,2015,3124
2018,2014,3133
2016,2012,3132
2015,2016,3127
2017,2010,3126
2014,2010,3126
2016,2011,3124
2020,2014,3120
2019,2017,3120
2022,2013,3118
2014,2014,3117
2020,2012,3112
2015,2012,3113
2015,2012,3117
2026,2014,3109
2017,2011,3106
2018,2013,3118
2018,2014,3115
2020,2014,3113
2019,2016,3115
2009,2018,3114
2022,2014,3105
2014,2011,3114
2012,2010,3110
2022,2013,3113
2014,2013,3113
2014,2012,3106
2016,2014,3100
2017,2014,3096
2022,2015,3092
2023,2011,3094
2021,2009,3089
2014,2013,3087
2017,2016,3083
2020,2017,3087
2018,2013,3087
2014,2001,3083
2022,2015,3083
2012,2010,3086
2019,2010,3089
2017,2006,3087
2020,2011,3087
2019,2011,3103
2017,2014,3086
2018,2013,3087
2023,2013,3085
2020,2012,3079
2018,2007,3082
2017,2016,3079
2014,2014,3077
2022,2010,3078
2022,2012,3076
2012,2009,3072
2016,2011,3067
2020,2008,3064
2017,2014,3067
2018,2013,3060
2016,2011,3068
2016,2014,3064
2017,2007,3063
2024,2014,3064
2017,2014,3060
2022,2012,3069
2019,2014,3062
2014,2014,3064
2011,2013,3063
2018,2008,3064
2019,2012,3070
2022,2015,3063
2018,2015,3062
2015,2010,3058
2020,2012,3062
2021,2016,3057
2018,2018,3057
2014,2016,3063
2022,2014,3061
2014,2013,3055
2023,2016,3054
2017,2016,3052
2018,2011,3054
2016,2016,3054
2018,2013,3057
2016,2018,3059
2017,2014,3060
2015,2014,3054
2023,2013,3061
2018,2016,3066
2016,2013,3061
2016,2017,3065
2016,2019,3066
2018,2016,3071
2015,2020,3061
2021,2017,3063
2019,2011,3064
2015,2009,3060
2018,2014,3066
2020,2014,3066
2015,2013,3065
2016,2011,3065
2015,2030,3069
2017,2006,3067
2018,2014,3068
2017,2017,3066
2022,2015,3071
2024,2007,3075
2013,2014,3070
2022,2012,3074
2018,2014,3082
2022,2012,3081
2019,2012,3083
2014,2012,3092
2013,2010,3089
2000,2018,3090
2022,2014,3094
2020,2015,3091
2015,2016,3094
2020,2011,3095
2026,2010,3097
2019,2018,3098
2017,2008,3099
2011,2008,3098
2016,2010,3103
2027,2012,3104
2016,2014,3102
2011,2011,3107
2011,2011,3089
2009,2016,3105
2018,2008,3112
2015,2016,3116
2015,2020,3112
2017,2015,3104
2014,2008,3119
2016,2009,3119
2015,2010,3120
2016,2011,3124
2018,2010,3121
2012,2012,3122
2006,2012,3118
2015,2014,3123
2015,2007,3121
2014,2015,3106
2018,2013,3123
2017,2012,3122
2012,2013,3124
2020,2013,3130
2020,2011,3125
2012,2013,3124
2018,2009,3124
2020,2010,3129
2019,2006,3128
2015,2013,3135
2017,2015,3131
2018,2014,3135
2017,2016,3130
2016,2011,3125
2016,2009,3126
2012,2012,3130
2016,2013,3122
2013,2010,3130
2022,2010,3126
2014,2012,3130
2011,2014,3123
2013,2011,3122
2013,2009,3121
2018,2011,3117
2016,2011,3120
2015,2011,3121
2015,2015,3112
2016,2014,3115
2020,2013,3120
2019,2010,3116
2017,2011,3119
2018,2017,3115
2013,2008,3110
2019,2014,3115
2012,2009,3116
2021,2013,3109
2013,2011,3111
2015,2013,3110
2016,2015,3108
2022,2012,3103
2020,2013,3104
2020,2014,3103
2024,2013,3101
2018,2012,3095
2014,2016,3095
2022,2012,3096
2015,2010,3089
2013,2010,3089
2019,2016,3090
2017,2012,3083
2012,2014,3087
2022,2014,3086
2017,2014,3084
2016,2012,3089
2017,2014,3085
2020,2007,3086
2014,2012,3078
2019,2012,3081
2018,2014,3079
2022,2013,3080
2017,2015,3076
2021,2012,3073
2024,2015,3067
2016,2015,3072
2014,2014,3074
2015,2008,3073
2017,2009,3071
2017,2011,3065
2016,2013,3064
2031,2012,3062
2023,2015,3060
2020,2018,3057
2021,2015,3061
2025,2016,3064
2021,2018,3058
2015,2015,3064
2023,2014,3058
2020,2014,3055
2019,2015,3063
2019,2010,3053
2024,2008,3057
2018,2031,3053
2021,2017,3060
2015,2014,3059
2019,2010,3054
2016,2019,3058
2021,2011,3058
2024,2015,3052
2017,2014,3056
2013,2014,3052
2019,2016,3053
2015,2013,3057
2014,2011,3054
2014,2020,3058
2030,2019,3059
2018,2010,3051
2017,2013,3059
2018,2017,3043
2018,2015,3058
2029,2019,3058
2014,2013,3058
2020,2014,3056
2014,2014,3057
2019,2014,3059
2015,2011,3068
2019,2013,3054
2014,2012,3064
2015,2012,3064
2012,2012,3064
2021,2014,3066
2015,2012,3068
2021,2013,3069
2014,2013,3070
2014,2011,3065
2019,2010,3072
2016,2016,3072
2017,2014,3075
2014,2010,3070
2017,2012,3074
2013,2014,3068
2014,2012,3080
2012,2009,3086
2021,2012,3079
2019,2013,3084
2019,2013,3088
2017,2014,3087
2019,2011,3089
2011,2009,3076
2016,2013,3094
2015,2014,3099
2010,2011,3092
2012,2015,3103
2016,2011,3096
2015,2012,3107
2016,2010,3103
2014,2012,3102
2014,2013,3109
2018,2014,3108
2017,2013,3108
2015,2016,3109
2017,2013,3112
2020,2013,3112
2017,2012,3111
2014,2017,3118
2011,2011,3115
2018,2013,3122
2009,2011,3117
2012,2009,3125
2017,2012,3124
2017,2008,3126
2011,2014,3122
2015,2012,3117
2021,2010,3128
2015,2011,3122
2018,2017,3123
2015,2017,3132
2016,2005,3128
2012,2011,3130
2015,2010,3138
2015,2014,3130
2011,2015,3133
2017,2013,3136
2013,2016,3136
2009,2009,3129
2015,2018,3133
2015,2009,3134
2013,2011,3129
2019,2010,3130
2015,2018,3130
2011,2014,3137
2022,2014,3128
2027,2011,3133
2014,2006,3139
2010,2014,3130
2016,2014,3131
2016,2015,3131
2015,2016,3123
2020,2014,3129
2020,2010,3120
2015,2028,3122
2010,2014,3122
2012,2014,3127
2011,2015,3123
2010,2013,3127
2014,2012,3122
2017,2011,3124
2017,2016,3117
2015,2014,3113
2015,2017,3113
2018,2012,3112
2018,2011,3112
2019,2012,3114
2016,2013,3116
2012,2011,3102
